,title,id,language,ontologyId,resultType,access,distance,categories,contacts,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng
0,Andheri East Service Apartments,here:pds:place:356te7uf-0d5db6077151dcd23696918063140033,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.11752, 'lng': 72.88376}]",3566,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]","Andheri East Service Apartments, Marol Military Road, Marol-Bhavani NGR, Andheri East, Mumbai 400059, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Andheri East,Marol-Bhavani NGR,Marol Military Road,400059,19.11765,72.88373
1,Aghadi Nagar CHS,here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16289, 'lng': 72.93287}]",3856,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'mobile': [{'value': '+919324060902'}]}],"Aghadi Nagar CHS, Dargah Road, Sonapur-Tilak NGR-Zakaria Compound, Bhandup West, Mumbai 400078, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Bhandup West,Sonapur-Tilak NGR-Zakaria Compound,Dargah Road,400078,19.16275,72.93285
2,Irel Officers Apartment,here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.09585, 'lng': 72.91369}]",4163,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'phone': [{'value': '+912224220843'}]}],"Irel Officers Apartment, Damodar Park Road, Damodar Park-Nabard Clny, Ghatkopar West, Mumbai 400086, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Ghatkopar West,Damodar Park-Nabard Clny,Damodar Park Road,400086,19.09596,72.91358
3,Skiffle CHS,here:pds:place:356te7ue-44bc5a50b70e4079ba6ba5ad714cfa2e,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.07813, 'lng': 72.91169}]",6147,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]",,"Skiffle CHS, Vallabh Baug Lane, Pant Nagar-Naidu Colony, Ghatkopar East, Mumbai 400075, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Ghatkopar East,Pant Nagar-Naidu Colony,Vallabh Baug Lane,400075,19.07814,72.91175
4,Ganash,here:pds:place:356te7vh-c25b431bc219440580a988745647d8fe,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.172, 'lng': 72.95578}]",6192,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,"Ganash, Sardar Vallabhbhai Patel Road, Vidya Vihar, Mulund West, Mumbai 400080, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Mulund West,Vidya Vihar,Sardar Vallabhbhai Patel Road,400080,19.17193,72.95586
5,Royal Palms Estate & Properties,here:pds:place:356te7v6-7424bd059ac945ec9d562343a4355614,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16259, 'lng': 72.85786}]",6675,"[{'id': '700-7400-0145', 'name': 'Real Estate Services', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'phone': [{'value': '+912261462000'}], 'www': [{'value': 'http://www.royalpalmsindia.com'}]}]","Royal Palms Estate & Properties, Service Road, Jayprakash Nagar, Goregaon East, Mumbai 400063, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Goregaon East,Jayprakash Nagar,Service Road,400063,19.16284,72.85792
6,Twinkle Service Apartment,here:pds:place:356te7uc-7c88537101df4ea6a68850a645d36a34,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.14636, 'lng': 72.84588}]",7222,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'phone': [{'value': '+919819099019'}], 'www': [{'value': 'http://Www.twinkleapartments.com'}]}]","Twinkle Service Apartment, Oshiwara Garden Road, Amrut Nagar, Jogeshwari West, Mumbai 400104, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Jogeshwari West,Amrut Nagar,Oshiwara Garden Road,400104,19.1462,72.8459
7,Strawberry Vacations,here:pds:place:356te7u9-956d7d7d767748078ab88eb42c3cc8c9,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.0962, 'lng': 72.85414}]",7459,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'phone': [{'value': '+919664666457'}], 'www': [{'value': 'http://www.strawberryvacations.com'}]}]","Strawberry Vacations, Nehru Road, Navpada, Vile Parle East, Mumbai 400099, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Vile Parle East,Navpada,Nehru Road,400099,19.09629,72.85416
8,La Maison Hospitality,here:pds:place:356te7u9-d7b0a51c06674bbebbb9cbfd6687bc56,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.10195, 'lng': 72.84543}]",7937,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'phone': [{'value': '+919930122614'}], 'www': [{'value': 'http://www.lamaisonserviceapartments.com'}]}]","La Maison Hospitality, Parleshwar Marg, Navpada-Agarwal Market, Vile Parle East, Mumbai 400057, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Vile Parle East,Navpada-Agarwal Market,Parleshwar Marg,400057,19.10186,72.84553
9,Oshi,here:pds:place:356te7uc-0bcaea12da36460c973fb3472b84c66b,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.14885, 'lng': 72.83944}]",7962,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7400-0145', 'name': 'Real Estate Services'}]","[{'phone': [{'value': '+919004999751'}], 'www': [{'value': 'http://www.oshisahyog.com', 'categories': [{'id': '700-7400-0145'}]}]}]","Oshi, Patliputra NGR-Oshiwara-Gulshan NGR, Jogeshwari West, Mumbai 400102, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Jogeshwari West,Patliputra NGR-Oshiwara-Gulshan NGR,,400102,19.14888,72.8393
