,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
0,Andheri East Service Apartments,"Andheri East Service Apartments, Marol Military Road, Marol-Bhavani NGR, Andheri East, Mumbai 400059, India",3566,"[{'lat': 19.11752, 'lng': 72.88376}]",19.11765,72.88373,400059,"[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]",here:pds:place:356te7uf-0d5db6077151dcd23696918063140033
1,Aghadi Nagar CHS,"Aghadi Nagar CHS, Dargah Road, Sonapur-Tilak NGR-Zakaria Compound, Bhandup West, Mumbai 400078, India",3856,"[{'lat': 19.16289, 'lng': 72.93287}]",19.16275,72.93285,400078,[{'mobile': [{'value': '+919324060902'}]}],here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e
2,Irel Officers Apartment,"Irel Officers Apartment, Damodar Park Road, Damodar Park-Nabard Clny, Ghatkopar West, Mumbai 400086, India",4163,"[{'lat': 19.09585, 'lng': 72.91369}]",19.09596,72.91358,400086,[{'phone': [{'value': '+912224220843'}]}],here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b
3,Skiffle CHS,"Skiffle CHS, Vallabh Baug Lane, Pant Nagar-Naidu Colony, Ghatkopar East, Mumbai 400075, India",6147,"[{'lat': 19.07813, 'lng': 72.91169}]",19.07814,72.91175,400075,,here:pds:place:356te7ue-44bc5a50b70e4079ba6ba5ad714cfa2e
4,Ganash,"Ganash, Sardar Vallabhbhai Patel Road, Vidya Vihar, Mulund West, Mumbai 400080, India",6192,"[{'lat': 19.172, 'lng': 72.95578}]",19.17193,72.95586,400080,,here:pds:place:356te7vh-c25b431bc219440580a988745647d8fe
5,Royal Palms Estate & Properties,"Royal Palms Estate & Properties, Service Road, Jayprakash Nagar, Goregaon East, Mumbai 400063, India",6675,"[{'lat': 19.16259, 'lng': 72.85786}]",19.16284,72.85792,400063,"[{'phone': [{'value': '+912261462000'}], 'www': [{'value': 'http://www.royalpalmsindia.com'}]}]",here:pds:place:356te7v6-7424bd059ac945ec9d562343a4355614
6,Twinkle Service Apartment,"Twinkle Service Apartment, Oshiwara Garden Road, Amrut Nagar, Jogeshwari West, Mumbai 400104, India",7222,"[{'lat': 19.14636, 'lng': 72.84588}]",19.1462,72.8459,400104,"[{'phone': [{'value': '+919819099019'}], 'www': [{'value': 'http://Www.twinkleapartments.com'}]}]",here:pds:place:356te7uc-7c88537101df4ea6a68850a645d36a34
7,Strawberry Vacations,"Strawberry Vacations, Nehru Road, Navpada, Vile Parle East, Mumbai 400099, India",7459,"[{'lat': 19.0962, 'lng': 72.85414}]",19.09629,72.85416,400099,"[{'phone': [{'value': '+919664666457'}], 'www': [{'value': 'http://www.strawberryvacations.com'}]}]",here:pds:place:356te7u9-956d7d7d767748078ab88eb42c3cc8c9
8,La Maison Hospitality,"La Maison Hospitality, Parleshwar Marg, Navpada-Agarwal Market, Vile Parle East, Mumbai 400057, India",7937,"[{'lat': 19.10195, 'lng': 72.84543}]",19.10186,72.84553,400057,"[{'phone': [{'value': '+919930122614'}], 'www': [{'value': 'http://www.lamaisonserviceapartments.com'}]}]",here:pds:place:356te7u9-d7b0a51c06674bbebbb9cbfd6687bc56
9,Oshi,"Oshi, Patliputra NGR-Oshiwara-Gulshan NGR, Jogeshwari West, Mumbai 400102, India",7962,"[{'lat': 19.14885, 'lng': 72.83944}]",19.14888,72.8393,400102,"[{'phone': [{'value': '+919004999751'}], 'www': [{'value': 'http://www.oshisahyog.com', 'categories': [{'id': '700-7400-0145'}]}]}]",here:pds:place:356te7uc-0bcaea12da36460c973fb3472b84c66b
