position.lat,position.lng,Cafes,Department Stores,Gyms,diagonsis
19.12548,72.91935,11,3,18,
19.12339,72.91274,20,4,20,
19.11933,72.91227,20,4,20,
19.11746,72.88374,8,5,20,
19.16278,72.93287,4,2,7,
19.0959,72.91356,16,3,16,
19.11167,72.87505,15,6,20,
19.1665,72.95585,6,6,20,
19.07814,72.91175,15,3,20,
19.1718,72.95568,7,7,20,
19.16285,72.85787,9,4,15,
19.12396,72.84676,10,2,20,
19.1462,72.8459,4,3,8,
19.10781,72.84909,18,7,20,
19.09623,72.85419,16,1,18,
19.06441,72.91849,1,4,13,
19.10186,72.84553,20,5,20,
19.14881,72.83934,17,3,20,
19.14887,72.83901,18,3,20,
19.12503,72.98947,1,1,2,
